facility_name,operator,street,postal_code,city,market,url,Spec: Automatic Firesupression,Spec: Biometric Access Control,Spec: Breakroom,Spec: Build-to-Suit,Spec: Building Floors,Spec: CCTV surveillance,Spec: Cages,Spec: Card Access Control,Spec: Conference Room,Spec: Construction Type,Spec: Cooling Redundancy,Spec: Crash Cart(s),Spec: DSS PCI Compliant,Spec: Fenced Perimeter,Spec: Floor Type,Spec: Floor to Ceiling Height,Spec: Footprints,Spec: Full Cabinets,Spec: Fully Built-Out Power,Spec: Fully Built-Out Whitespace,Spec: ISO14001 Certified,Spec: ISO22301 Certified,Spec: ISO27001 Certified,Spec: ISO27017 Certified,Spec: ISO27018 Certified,Spec: ISO50001 Certified,Spec: ISO9001 Certified,Spec: Internet Exchange Points,Spec: Live Whitespace,Spec: Loading Bay,Spec: Loaner Tools,Spec: Mantrap Entry,Spec: Max Floor Load,Spec: Max power/area,Spec: Max power/rack,Spec: Meet-Me-Room (MMR),Spec: Network providers,Spec: Office Space,Spec: Onsite Security Staff,Spec: Onsite Technical Staff,Spec: PUE,Spec: Partial Cabinets,Spec: Peering networks,Spec: Remote Hands,Spec: Roof Access,Spec: SOC 2 Type II Certified,Spec: Shared Rackspace,Spec: Standby Power Redundancy,Spec: Suites,Spec: Tenants offering cloud,Spec: Tenants offering colocation,Spec: Tier Certification,Spec: Tier Design,Spec: Total Building Size,Spec: Total Plot Size,Spec: UPS Redundancy,Spec: Under Construciton Power,Spec: Under Construction Whitespace,Spec: Whitespace expandable,Spec: WiFi,Spec: Year Operational,land_size_katastr
TH Ostrava,Nej.cz,Ostravia Trade,702 00,Ostrava,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/selfservis-ostrava/,,,,No,,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,600 kg/sq.m.,,,,1,,,,,No,,No,,,No,,No,,,,,,,,,,,,,
K2 Data Center,K2 atmitec s.r.o.,Koksární 1097/7,702 00,Ostrava - Přívoz,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/k2-datacenter/,No,,,No,,No,No,No,,,,,,,,,No,No,0.56 MW,66 sq.m.,No,No,No,,,No,No,,,,,,,,,,,,,,1.65,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,773
DC XEM Ostrava (T-Mobile CZ),T-Mobile Czech Republic a.s.,Na Desátém 3341/6,702 00,Ostrava - Moravská Ostrava,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/dc-xem-ostrava/,No,,,No,,No,No,No,,,N+1,,,,,,No,No,0.15 MW,250 sq.m.,No,No,No,,,No,No,,,,,,,,10 kW,,,,,,1.65,No,,No,,,No,N+1,No,,,,Tier 3,,,N+1,,,,,,
CRA DC Ostrava,Ceske Radiokomunikace,Aleje,725 28,Ostrava,Ostrava,https://www.datacentermap.com/czech-republic/ostrava/cra-dc-ostrava/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,3 kW,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,
ZonerCloud Brno (Kovoterm),ZonerCloud,Cejl 825/20,602 00,Brno-střed-Zábrdovice,Brno,https://www.datacentermap.com/czech-republic/brno/zonercloud-brno-kovoterm/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,Tier 2,,,,,,,,,2050
Faster DC Brno,Faster CZ spol. s r.o.,Jarní 1064/44g,614 00,Brno-Maloměřice a Obřany,Brno,https://www.datacentermap.com/czech-republic/brno/faster-dc-brno/,No,,,No,,No,No,,,,,,,,,,No,No,,205 sq.m.,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,1,,,,,,,,,,2013,1036
MasterDC Kanice,"Master Internet, Ltd.",Kanice 176,664 01,Kanice,Brno,https://www.datacentermap.com/czech-republic/brno/masterdc-kanice/,,,,No,,,No,,,Retrofitted,,,,,,,No,No,25 MW,26000 sq.m.,,,,,,,,,,,,,,,120 kW,,,,,,1.2,No,,No,,,No,,No,,,,,,,,4 MW,1000 sq.m.,,,2026,1743
ZonerCloud Brno (Nove Sady),ZonerCloud,Nové sady 583/18,602 00,Brno-střed,Brno,https://www.datacentermap.com/czech-republic/brno/zonercloud-primary-datacenter/,,,,No,,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,285
TH Brno,Nej.cz,Palavske namesti 11,62800,Brno,Brno,https://www.datacentermap.com/czech-republic/brno/selfservis-brno/,,,,No,3,No,No,,,,N+1,,,,,,No,No,,,,,No,,,,No,,,,,,800 kg/sq.m.,,,,1,,,,,No,3,No,,,No,N+1,No,,,,Tier 3,,,N+1,,,,,,1269
DC PVT Brno (T-Mobile CZ),T-Mobile Czech Republic a.s.,Veveří 2581/102,616 00,Brno - Žabovřesky,Brno,https://www.datacentermap.com/czech-republic/brno/t-mobile-dc-pvt-brno/,No,,,No,,No,No,No,,,N+1,,,,Raised Floor,,No,No,0.4 MW,370 sq.m.,,No,No,,,No,No,,,,,,,,10 kW,,,,,,1.65,No,,No,,,No,N+1,No,,,,,,,N+1,,,,,,1850
TTC Teleport DC2,"TTC TELEPORT, s.r.o",Sazečská 595/10,10800,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/ttc-dc2/,,,,No,,No,No,,,Purpose-built,N+1,,No,,,,No,No,10 MW,"4,000 sq.m.",,,No,,,,,1,,,,,,,20 kW,No,,,"Yes, 24/7",,,No,31,No,No,,No,N+1,No,,1,Tier 3,Tier 3,8000 sq.m.,,N+1,,,No,,2015,3496
CD-Telematika Prague,CD-Telematika,Pod Táborem 369/8A,190 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/cd-telematika-prague/,,No,,No,,No,No,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,1981
DC7 (T-Mobile CZ),T-Mobile Czech Republic a.s.,K Pérovně 1616/2,102 00,Praha 15 - Hostivař,Prague,https://www.datacentermap.com/czech-republic/prague/t-mobile-dc7/,No,No,,No,2,No,No,No,No,Purpose-built,N+1,,No,No,Raised Floor,,No,No,8 MW,"2,800 sq.m.",No,No,No,,,No,No,,,No,No,No,"2,000 kg/sq.m.",,20 kW,No,,No,"Yes, 24/7","Yes, 24/7",1.3,No,2,No,,,No,N+1,No,,,Tier 3,Tier 3,,"25,000 sq.m.",N+1,,,,No,2018,5112
CRA DC Tower,Ceske Radiokomunikace,Mahlerovy sady 1,130 00,Praha Zizkov,Prague,https://www.datacentermap.com/czech-republic/prague/dc-tower/,,,,No,,,No,,,,N+1,,No,,,,No,No,,,No,,No,No,No,No,No,,,,,,,,,,,,"Yes, 24/7","Yes, 24/7",,No,15,No,,No,No,N+1,No,,,,,,,N+1,,,,,,2124
Seznam.cz Kokura 1,Seznam.cz,U tabulky 2948,193 00,Praha 20,Prague,https://www.datacentermap.com/czech-republic/prague/seznamcz-kokura-1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2420
SPCSS Vápenka,Státní pokladna Centrum sdílených služeb,Na Vápence 915/14,130 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/spcss-vpenka/,No,,,No,,No,No,No,,,,,,,,,No,No,1 MW,450 sq.m.,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,1,No,,,No,,No,,,,Tier 3,,,,,,,,,303
DC Vega,DC Vega,Teplická 494/17,190 00,Střížkov,Prague,https://www.datacentermap.com/czech-republic/prague/dc-vega/,,,,No,,No,No,,,,N+1,,,,,,No,No,0.8 MW,,,,,,,,,,,,,,900 kg/sq.m.,,6 kW,,,No,,,,No,3,No,,,No,,No,,,,,,,,,,,,,886
Seznam.cz Kokura 3,Seznam.cz,U tabulky 2948,193 00,Praha 20,Prague,https://www.datacentermap.com/czech-republic/prague/seznamcz-kokura-3/,,,,,,,,,,,,,,,,,,,2.4 MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 sq.m.,,,,,,,2024,2420
DC THP  (T-Mobile CZ),T-Mobile Czech Republic a.s.,Vinohradská 190,13000,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/gts-telehouse-prague/,No,No,,No,,No,No,No,No,,N+1,,No,,,,No,No,3 MW,"1,830 sq.m.",No,No,No,,,No,No,1,,,,No,,,10 kW,,,No,"Yes, 24/7","Yes, 24/7",1.6,No,21,No,,No,No,N+1,No,1,,,Tier 3,,,N+1,,,,No,,4010
SafeDX Data Center,SafeDX s.r.o.,K Žižkovu 813/2,190 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/safedx-data-center/,No,No,,No,,No,No,No,,,N+1,,,No,,,No,No,3 MW,,,,,,,,,,,,,,,,9 kW,,,,"Yes, 24/7",,1.35,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,3122
Seznam.cz Kokura 2,Seznam.cz,U tabulky 2948,193 00,Praha 20,Prague,https://www.datacentermap.com/czech-republic/prague/seznamcz-kokura-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420
TTC Teleport DC1,"TTC TELEPORT, s.r.o",Tiskařská 257,10800,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/ttc-teleport-telehouse/,,,,No,,No,No,,,Retrofitted,N+1,,No,,,,No,No,10 MW,"1,600 sq.m.",,,No,,,,,1,,,,,,,8 kW,No,,,"Yes, 24/7",,,No,78,No,No,,No,N+1,No,,,,Tier 3,2500 sq.m.,,N+1,,,,,2001,3075
CRA DC Cukrák,Ceske Radiokomunikace,Cukrák 90,252 02,Jíloviště,Prague,https://www.datacentermap.com/czech-republic/prague/cra-cukrk-data-centre/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,3 kW,,,,,,,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,786
O2 Nagano Data Center,O2 Czech Republic a.s.,K Červenému dvoru 3156/25,130 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/o2-nagano-prague/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,4636
COOLHOUSING Data Center,COOLHOUSING s.r.o.,Vinohradska 2405/190,130 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/coolhousing-datacenter/,No,,No,No,,No,No,No,No,Retrofitted,N+2,No,,No,Solid Floor,,No,No,,350 sq.m.,,,No,,,,No,,,,No,No,,,3 kW,No,1,,"Yes, 24/7","Yes, 24/7",,No,6,No,No,,No,N+1,No,,,,,,,N+2,,,No,No,2003,4010
O2 Chodov Data Center,O2 Czech Republic a.s.,V lomech 2339/1,14900,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/o2-chodov-prague/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,2368
MasterDC Prague,"Master Internet, Ltd.",Kodanska 1441/46,110 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/master-dc-prague/,No,No,,No,,No,No,No,,Retrofitted,N+1,,,,,,No,No,,1200 sq.m.,,,,,,,,,850 sq.m.,,,,,,,,,,"Yes, 24/7","Yes, 24/7",,No,2,No,,,No,2N+1,No,,,,,,,,,,,,2008,4586
CE Colo DC1,CE Colo,Nad Elektrárnou 1428/47,106 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/ce-colo-dc1/,No,,,No,,No,No,,,,,,,,,,No,No,4 MW,"3,400 sq.m.",,,,,,,,3,,,,,,,20 kW,,2,No,,,,No,149,No,No,,No,,No,,,,Tier 3,,,,,,,,,2425
CE Colo DC7,CE Colo,K Pérovně 1616/2,102 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/ce-colo-dc7/,,,,No,,,No,,,Purpose-built,,,,,,,No,No,11 MW,"2,800 sq.m.",,,,,,,,1,,,,,,6 kW/sq.m.,,,,No,,,,No,5,No,No,,No,,No,2,2,Tier 3,Tier 3,"9,000 sq.m.",25000 sq.m.,,,,,,,5112
SPCSS Zeleneč,Státní pokladna Centrum sdílených služeb,Čsl. armády 1060,250 91,Zeleneč v Čechách,Prague,https://www.datacentermap.com/czech-republic/prague/spcss-zelene/,No,,,No,,No,No,No,,,,,,,,,No,No,3 MW,332 sq.m.,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,1844
O2 Stodůlky Data Center,O2 Czech Republic a.s.,K Zahrádkám 2065/2,155 00,Stodůlky,Prague,https://www.datacentermap.com/czech-republic/prague/o2-stodlky-data-center/,,No,,No,,No,No,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,,No,,,No,,No,,,,,,,,,,,,,2913
CRA DC Prague Gateway,Ceske Radiokomunikace,within,Zbraslav on the outskirts of Prague,156 00,Prague,https://www.datacentermap.com/czech-republic/prague/dc-prague-zbraslav/,,,,No,,,No,,,,,,,,,,No,No,26 MW,4000 sq.m.,,,,,,,,,,,,,,,30 kW,No,,,,,,No,,No,,,No,,No,,,,,,56000 sq.m.,,,,,,,
DC6 Datacenter,Greendata s.r.o.,Luzná 591/4,16000,"Vokovice, Prague 6",Prague,https://www.datacentermap.com/czech-republic/prague/dc6cz/,,,,No,,,No,,,Retrofitted,,,,,,,No,No,1 MW,800 sq.f.,,,,,,,,,,,,,,,5 kW,No,,,"Yes, 24/7",,,No,1,No,,,No,N+1,No,,,Tier 3,Tier 3,,,,,,No,,2010,45446
Casablanca Telehouse,Casablanca INT s.r.o.,Vinohradská 184,130 52,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/casablanca-telehouse/,,,,No,,,No,,,,N+1,,,,,,No,No,2 MW,"1,600 sq.m.",,,No,,,,No,,,,,,,,,,,,,,,No,5,No,,,No,,No,,1,,,,,,,,,,,
VSHosting ServerPark,VSHOSTING,Sodomkova 1579/5,102 00,Prague,Prague,https://www.datacentermap.com/czech-republic/prague/vshosting-serverpark/,No,,,No,,No,No,No,,,N+1,,,No,,,No,No,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7","Yes, 24/7",,No,3,No,,,No,N+1,No,,,,,,,N+1,,,,,,732
CRA DC Lužice,Ceske Radiokomunikace,Velkomoravská 1040/405a,696 18,Lužice u Hodonína,Prague,https://www.datacentermap.com/czech-republic/prague/cra-dc-luice/,,,,No,,No,No,No,,,N+1,,,,,,No,No,,,,,,,,,,,,,,,,,10 kW,,,,"Yes, 24/7",,,No,,No,,,No,N+1,No,,,Tier 3,Tier 3,,,N+1,,,,,,904
FreeTel DataCentrum,"FreeTel, s.r.o.",Lužná 716/2,Ground Floor,160 00,Prague,https://www.datacentermap.com/czech-republic/prague/freetel-datacentrum/,,No,,No,,No,No,,,,N+1,,,,,,No,No,,215 sq.m.,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,,No,5,No,,,No,N+1,No,,,,,,,N+1,,,,,2012,2977
Seznam.cz Nagoya,Seznam.cz,Průmyslová 1012/1012,294 71,Benátky nad Jizerou 1,Mladá Boleslav,https://www.datacentermap.com/czech-republic/mlada-boleslav/seznamcz-nagoya/,,,,,,,,,,,,,,,,,,,3 MW,,,,,,,,,,,,,,,,15 kW,,,,,,1.1,,,,,,,,,,,,,1200 sq.m.,,,,,,,,1298
NWT DC Silo,ICT NWT s.r.o.,tř. Tomáše Bati 269,760 01,Zlin,Zlin,https://www.datacentermap.com/czech-republic/zlin/nwt-dc-silo/,No,,,No,,No,No,,,,,,,,,,No,No,,72 sq.m.,,,No,,,,No,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,Tier 2,,,,,,,,2015,1501
Datove Centrum Monaco,"SYNOT ICT Services, a.s.",Jaktáře 1475,686 01,Uherské Hradiště,Zlin,https://www.datacentermap.com/czech-republic/zlin/datove-centrum-monaco/,No,,,No,,No,No,No,,,N+1,,,,,,No,No,,,,,No,,,,,,,,,,,,10 kW,,,,,,,No,,No,,,No,N+1,No,,1,,Tier 3,,,N+1,,,,,,11376
Adaptivity Data Center,"INTERNEXT 2000, s.r.o.",Jana Antonína Bati 5542,760 01,Zlín,Zlin,https://www.datacentermap.com/czech-republic/zlin/adaptivity-data-center/,,,,No,,No,No,No,,,N+1,,,,,,No,No,,,,,,,,,,,,,,,,,4 kW,,,,,,,No,1,No,,,No,,No,,,,Tier 3,,,N+1,,,,,,
WEDOS DC2,"WEDOS Internet, a.s.",Podskalí,373 41,Hluboká nad Vltavou,Ceske Budejovice,https://www.datacentermap.com/czech-republic/ceske-budejovice/wedos-dc2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEDOS DC1,"WEDOS Internet, a.s.",Masarykova 1230,373 41,Hluboka nad Vltavou,Ceske Budejovice,https://www.datacentermap.com/czech-republic/ceske-budejovice/datacenter-wedos/,No,,,No,,No,No,No,,Purpose-built,N+1,,,,,,No,No,1 MW,330 sq.m.,,,,,,,,,,,,,,5 kW/sq.m.,,No,,,"Yes, 24/7",,,No,,No,No,,No,N+1,No,,,,,880 sq.m.,,N+1,,,,,2010,441
Host-Telecom Data Center,"Host-telecom.com, s.r.o.",Pod Rafandou 906,391 81,Veselí nad Lužnicí,Ceske Budejovice,https://www.datacentermap.com/czech-republic/ceske-budejovice/host-telecom-data-center/,No,,,No,,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,1,No,,,No,,No,,,,Tier 3,,,,,,,,,604
EXA Ivancice,EXA Infrastructure,Alexovice 23,66491,Ivancice,Ivancice,https://www.datacentermap.com/czech-republic/ivancice/interoute-ivancice/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,
TH Ivancice,Nej.cz,Tovarni 2,664 91,Ivancice,Ivancice,https://www.datacentermap.com/czech-republic/ivancice/selfservis-ivancice/,,,,No,2,No,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,600 kg/sq.m.,,,,1,,,,,No,1,No,,,No,,No,,,,,,,,,,,,,2448
DATA CENTER JIHLAVA,Czech IT Cluster,Srazna 21,58601,Jihlava,Jihlava,https://www.datacentermap.com/czech-republic/jihlava/data-center-jihlava/,,,,No,,,No,,,Retrofitted,,,,,,,No,No,2 MW,800 sq.m.,,,No,,,,,,,,,,,,6 kW,No,,,"Yes, 24/7",,,No,,No,No,,No,,No,,,,Tier 3,,,,,,No,,2015,729
FORPSI Datacenter,FORPSI,Ktiš 54,384 03,Ktis,Prachatice,https://www.datacentermap.com/czech-republic/prachatice/forpsi-datacenter/,No,,,No,,No,No,,,Retrofitted,N+2,,,,,,No,No,1 MW,1500 sq.m.,,,No,,,,No,,,,,,,,6 kW,,,,,"Yes, 24/7",,No,,No,,,No,,No,,,,,,,2N,,,,,2005,
MasterDC Brno,"Master Internet, Ltd.",Cejl 825/20,60200,Brno,Morava,https://www.datacentermap.com/czech-republic/morava/master-dc-brno/,No,No,,No,,No,No,No,,Retrofitted,N+1,,,,,,No,No,,1250 sq.m.,,,,,,,,,750 sq.m.,,,,,,,,,,"Yes, 24/7","Yes, 24/7",,No,7,No,,,No,2N+1,No,,,,,,,,,,No,No,2007,2050
ANAFRA Bezručova,ANAFRA s.r.o.,Bezručova 3015,756 61,Rožnov pod Radhoštěm,Rožnov pod Radhoštěm,https://www.datacentermap.com/czech-republic/ronov-pod-radhotm/anafra-bezruova/,No,No,No,No,5,No,No,No,No,Purpose-built,N+1,,,No,Mixed,-2 cm,No,No,,,,,,,,,,,,No,No,No,,,,No,,No,"Yes, Biz-hours","Yes, Biz-hours",,No,,No,,,No,N+1,No,1,,,Tier 3,,,N+1,,,,No,2023,382
Datacentrum Moravia,MERIT GROUP a.s.,Brezinova 136/7,77200,Olomouc,Olomouc,https://www.datacentermap.com/czech-republic/olomouc/datacentrum-moravia/,,,,No,,No,No,No,,Retrofitted,N+1,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,1,No,,,No,N+1,No,,,,,,,N+1,,,,,2008,643
WMS Data Center,WMS s.r.o.,Moskevská 14,434 01,Most,Most,https://www.datacentermap.com/czech-republic/most/wms-data-center/,,No,,No,,,No,No,,,,,,,Raised Floor,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,5703
O2 Hradec Kralove Data Center,O2 Czech Republic a.s.,Akademika Bedrny 365/10,50003,Hradec Králové,Hradec Kralove,https://www.datacentermap.com/czech-republic/hradec-kralove/o2-hradec-kralove/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,2465
CD-Telematika Pardubice,CD-Telematika,Hlaváčova 205,530 02,Pardubice,Pardubice,https://www.datacentermap.com/czech-republic/pardubice/cd-telematika-pardubice/,,No,,No,,No,No,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,No,,No,,,,,,,,,,,,,507
TCP Data Center,Technologické centrum Písek,Vladislavova 250,397 01,Pisek,Pisek,https://www.datacentermap.com/czech-republic/pisek/tcp-data-center/,,,,No,,,No,,,,,,,,,,No,No,,,,,,,,,No,,,,,,,,,,,,,"Yes, 24/7",,No,,No,,,No,,No,,,,Tier 3,,,,,,,,,1945
